time,pm1.0,pm2.5,pm10
284.6286778450012,1,2,3
285.4742958545685,1,2,3
286.319819688797,0,1,2
287.23581528663635,0,1,2
288.081250667572,0,1,2
288.92681407928467,0,1,2
289.84253549575806,1,2,3
290.68802189826965,1,2,3
291.53342604637146,1,2,3
292.4492471218109,1,1,2
293.29469323158264,1,1,2
294.14022159576416,1,1,2
295.0559048652649,0,0,0
295.90142345428467,0,0,0
296.7470724582672,0,0,0
297.6627540588379,0,0,0
298.50826025009155,0,1,1
299.35375595092773,0,1,1
300.2696576118469,1,1,1
301.1152331829071,1,1,1
301.9607720375061,1,1,1
302.8765914440155,0,1,1
303.7221727371216,0,1,1
304.56777334213257,0,1,1
305.4835674762726,0,1,1
306.3290901184082,0,1,1
307.17474937438965,0,1,1
308.0903699398041,0,1,1
308.9359850883484,0,1,1
309.78148674964905,0,1,1
310.69735312461853,1,2,2
311.54283142089844,1,2,2
312.388286113739,1,2,2
313.30430698394775,0,0,2
314.14977622032166,0,0,2
314.9953851699829,0,0,2
315.91116642951965,0,1,2
316.7567310333252,0,2,3
317.6023778915405,0,2,3
318.5180547237396,0,1,3
319.36362743377686,0,1,3
320.2096276283264,0,1,3
321.1250615119934,0,2,3
321.9705722332001,0,2,3
322.81620502471924,0,1,2
323.7318871021271,0,0,2
324.57745599746704,0,0,2
325.4230396747589,0,1,3
326.3389027118683,0,1,2
327.18427872657776,0,1,2
328.0298545360565,0,0,1
328.945734500885,0,0,1
329.79139494895935,0,0,1
330.6368899345398,0,0,1
331.55257511138916,0,1,2
332.39812779426575,0,1,2
333.24351358413696,0,1,2
334.1594250202179,0,1,2
335.005042552948,0,1,2
335.85064697265625,0,1,2
336.7663459777832,0,1,2
337.61182951927185,0,1,2
338.4574120044708,0,1,2
339.3731095790863,0,1,1
340.2186381816864,0,1,1
341.06425166130066,0,1,1
341.97990822792053,0,1,1
342.82549262046814,0,1,1
343.67105531692505,0,1,1
344.58681893348694,0,1,1
345.4322557449341,0,1,1
346.27782583236694,0,1,1
347.19366002082825,1,1,1
348.03924655914307,1,1,1
